web-scraper-order,web-scraper-start-url,product
"1680415156-704","https://kotn.com/collections/womens","Rib Longsleeve in Cabernet"
"1680415156-705","https://kotn.com/collections/womens","Crop Mockneck in Natural"
"1680415156-706","https://kotn.com/collections/womens","Unisex Heavyweight Box Crew in White"
"1680415156-707","https://kotn.com/collections/womens","Cigarette Pants in Black"
"1680415156-708","https://kotn.com/collections/womens","Jogger in Natural"
"1680415156-709","https://kotn.com/collections/womens","Wide Leg Sweatpant in Racing Green"
"1680415156-710","https://kotn.com/collections/womens","Rib Crop Tank in Cabernet"
"1680415156-711","https://kotn.com/collections/womens","Essential Sweatpant in Black"
"1680415156-712","https://kotn.com/collections/womens","Essential Sweatpant in Umber"
"1680415156-713","https://kotn.com/collections/womens","Unisex Essential Hoodie in Racing Green"
"1680415156-714","https://kotn.com/collections/womens","Unisex Essential Hoodie in Truffle"
"1680415156-715","https://kotn.com/collections/womens","Fitted V-Neck Longsleeve in White"
"1680415156-716","https://kotn.com/collections/womens","Essential Sweatshirt in Light Taupe"
"1680415156-717","https://kotn.com/collections/womens","Essential Crew in Umber"
"1680415156-718","https://kotn.com/collections/womens","Raw Edge Tank in Fog"
"1680415156-719","https://kotn.com/collections/womens","Woven Shorts in Taupe Stripe"
"1680415156-720","https://kotn.com/collections/womens","Woven Top in Autumn Stripe"
"1680415156-721","https://kotn.com/collections/womens","Relaxed Woven Shorts in Taupe Stripe"
"1680415156-722","https://kotn.com/collections/womens","Woven Shorts in Autumn Stripe"
"1680415156-723","https://kotn.com/collections/womens","Woven Top in Taupe Stripe"
"1680415156-724","https://kotn.com/collections/womens","Relaxed Woven Shorts in Autumn Stripe"
"1680415156-725","https://kotn.com/collections/womens","Raw Edge Tank in Black"
"1680415156-726","https://kotn.com/collections/womens","Raw Edge Tank in White"
"1680415156-727","https://kotn.com/collections/womens","Essential Crew in Fog"
"1680415156-728","https://kotn.com/collections/womens","Fine Knit Shorts in Dark Olive"
"1680415156-729","https://kotn.com/collections/womens","Square Neck Tank in White"
"1680415156-730","https://kotn.com/collections/womens","Port Trouser in Black"
"1680415156-731","https://kotn.com/collections/womens","Essential Crew in White"
"1680415156-732","https://kotn.com/collections/womens","V-Neck Tank in Black"
"1680415156-733","https://kotn.com/collections/womens","Long Essential Crew in White"
"1680415156-734","https://kotn.com/collections/womens","Long Essential Crew in Black"
"1680415156-735","https://kotn.com/collections/womens","Logo Sweatshirt in Racing Green"
"1680415156-736","https://kotn.com/collections/womens","Essential Crew in Black"
"1680415156-737","https://kotn.com/collections/womens","Logo Sweatshirt in Black"
"1680415156-738","https://kotn.com/collections/womens","Cropped Reverse Racer Tank in Black"
"1680415156-739","https://kotn.com/collections/womens","Essential Longsleeve in White"
"1680415156-740","https://kotn.com/collections/womens","Mock Neck Tank in White"
"1680415156-741","https://kotn.com/collections/womens","V-Neck Tank in White"
"1680415156-742","https://kotn.com/collections/womens","Fitted Crew in Black"
"1680415156-743","https://kotn.com/collections/womens","Rib Longsleeve in Black"
"1680415156-744","https://kotn.com/collections/womens","Crew Socks in White"
"1680415156-745","https://kotn.com/collections/womens","Crew Socks in Black"
"1680415156-746","https://kotn.com/collections/womens","Rib Socks in Black"
"1680415156-747","https://kotn.com/collections/womens","Rib Socks in White"
"1680415156-748","https://kotn.com/collections/womens","Cropped Reverse Racer Tank in Dijon"
"1680415156-749","https://kotn.com/collections/womens","Essential Crew in Dijon"
